hakai_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5
U919,Chilko,3,0.99,L_Adams,4,0.01,,,,,,,,,
U920,Thompson_N,2,0.96,L_Adams,4,0.03,Chilko,3,0.01,Chilko-North,3,0.00,,,
U921,Chilko,3,1.00,Chilko-North,3,0.00,,,,,,,,,
U922,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
U923,Chilko,3,0.77,Mitchell,3,0.11,U_Horsefly,3,0.07,L_Adams,4,0.03,Chilko_south,2,0.02
U930,Middle,3,0.83,Stellako,3,0.09,Porter_Cr,1,0.02,Kynock,1,0.01,Kuzkwa_Cr,3,0.01
U943,Middle,3,0.93,Stellako,3,0.02,Kuzkwa_Cr,3,0.02,L_Adams,4,0.02,Tachie,3,0.01
U953,Chilko,3,0.99,Weaver,4,0.01,Chilko_south,2,0.00,,,,,,
U954,U_Horsefly,3,0.92,L_Horsefly,3,0.03,Horsefly,3,0.02,L_Adams,4,0.01,Chilko,3,0.01
U955,Mitchell,3,1.00,,,,,,,,,,,,
U966,L_Adams,4,0.89,Chilko,3,0.07,Scotch,2,0.02,Sandpoint,1,0.01,Seymour,2,0.01
U967,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
U968,U_Horsefly,3,0.94,L_Adams,4,0.04,L_Horsefly,3,0.02,Chilko,3,0.00,Thompson_N,2,0.00
U981,Chilko,3,0.70,Chilko_south,2,0.18,Pitt,2,0.11,Chilko-North,3,0.01,L_Adams,4,0.01
U1065,Chilko,3,0.95,Chilko_south,2,0.05,Chilko-North,3,0.00,,,,,,
U1080,L_Adams,4,0.94,Scotch,2,0.03,Chilko,3,0.02,Middle,3,0.00,Seymour,2,0.00
U1089,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
U1090,L_Adams,4,0.80,Chilko,3,0.15,U_Horsefly,3,0.02,Thompson_N,2,0.01,Little,4,0.01
U1091,Weaver,4,0.85,L_Adams,4,0.09,Scotch,2,0.03,Thompson_N,2,0.01,Seymour,2,0.01
U1096,Mitchell,3,1.00,,,,,,,,,,,,
U1097,Mitchell,3,1.00,,,,,,,,,,,,
U1098,L_Adams,4,0.95,Scotch,2,0.03,Little,4,0.01,Weaver,4,0.01,MiddleShuswap,4,0.00
U1099,Chilko,3,1.00,Mitchell,3,0.00,,,,,,,,,
U1100,Chilko,3,1.00,,,,,,,,,,,,
U1101,Chilko,3,0.99,Chilko_south,2,0.01,Chilko-North,3,0.00,Middle,3,0.00,Stellako,3,0.00
U1121,Chilko,3,1.00,Chilko_south,2,0.00,,,,,,,,,
U1344,Mitchell,3,1.00,,,,,,,,,,,,
